,SalDoc_InternalNo,SalDocItem_ArtInternalNo
0,5848925,41641
1,5848925,52457
2,5848928,283588
3,5848928,30094
4,5848928,30095
5,5848931,252092
6,5848931,286212
7,5848931,265425
8,5848932,37416
9,5848932,37422
10,5848932,247352
11,5848932,114476
12,5848934,36200
13,5848934,36205
14,5848934,265377
15,5848934,265321
16,5848934,273252
17,5848934,273253
18,5848934,37416
19,5848937,280525
20,5848937,11065
21,5848937,47732
22,5848937,258547
23,5848937,261326
24,5848937,262114
25,5848937,261327
26,5848937,90092
27,5848937,90093
28,5848937,90095
29,5848941,53245
30,5848941,268512
31,5848943,30095
32,5848943,30102
33,5848943,282569
34,5848943,30094
35,5848943,30101
36,5848943,30076
37,5848943,30077
38,5848943,30080
39,5848943,30082
40,5848943,30099
41,5848943,30098
42,5848943,30086
43,5848943,30081
44,5848943,282146
45,5848943,30097
46,5848943,266358
47,5848943,266354
48,5848943,282327
49,5848943,40713
50,5848943,51909
51,5848943,51909
52,5848943,79785
53,5848943,30087
54,5848943,37511
55,5848943,43169
56,5848943,30090
57,5848943,30088
58,5848943,30092
59,5848943,30091
60,5848943,30103
61,5848943,30089
62,5848949,46454
63,5848949,61648
64,5848949,30730
65,5848949,48230
66,5848949,48139
67,5848949,56466
68,5848949,266380
69,5848949,266384
70,5848949,266383
71,5848949,266381
72,5848949,56544
73,5848949,270560
74,5848949,50157
75,5848949,261313
76,5848949,79121
77,5848949,276055
78,5848949,52693
79,5848949,60165
80,5848949,100504
81,5848954,31450
82,5848954,277012
83,5848954,55446
84,5848954,106212
85,5848954,114476
86,5848954,114477
87,5848954,277584
88,5848956,49433
89,5848956,278111
90,5848956,270451
91,5848957,2338
92,5848957,52465
93,5848957,30116
94,5848961,48553
95,5848961,266423
96,5848961,266369
97,5848962,46441
98,5848962,46438
99,5848962,46446
100,5848965,32281
101,5848965,31450
102,5848965,31448
103,5848965,258019
104,5848965,30088
105,5848965,30089
106,5848965,30087
107,5848965,30090
108,5848965,30091
109,5848965,30095
110,5848965,46974
111,5848966,58197
112,5848966,46974
113,5848966,30090
114,5848966,41650
115,5848966,252993
116,5848966,33594
117,5848966,259527
118,5848968,30163
119,5848968,75035
120,5848968,111074
121,5848968,30970
122,5848968,90091
123,5848968,32315
124,5848970,60996
125,5848970,60985
126,5848970,60979
127,5848971,278111
128,5848971,257790
129,5848971,31450
130,5848971,31448
131,5848971,37416
132,5848971,37422
133,5848974,50312
134,5848974,51724
135,5848974,49313
136,5848974,282769
137,5848974,282767
138,5848974,282768
139,5848977,278676
140,5848977,48474
141,5848977,306911
142,5848994,49313
143,5848994,34193
144,5848994,27798
145,5848994,27803
146,5848994,27800
147,5848994,31450
148,5848994,31445
149,5848994,33596
150,5848994,33595
151,5848994,37422
152,5848994,37511
153,5848994,74656
154,5848994,45360
155,5848994,46277
156,5848994,37384
157,5848995,30744
158,5848995,268706
159,5848995,256073
160,5848995,241936
161,5848995,53782
162,5848995,48824
